# name	group	subgroup	jane_count
# Generated by tools/emojigen. Do not edit by hand.
boat	Travel & Places	transport-water	0
bomb	Objects	tool	2
book	Objects	book-paper	0
bookmark	Objects	book-paper	0
bookmark_tabs	Objects	book-paper	1
books	Objects	book-paper	0
boom	Smileys & Emotion	emotion	0
boot	Objects	clothing	2
bouncing_ball_person	People & Body	person-sport	0
bouquet	Animals & Nature	plant-flower	0
bow	People & Body	person-gesture	0
bow_and_arrow	Objects	tool	1
bowling	Activities	sport	2
boy	People & Body	person	0
bread	Food & Drink	food-prepared	1
bridge_at_night	Travel & Places	place-other	0
briefcase	Objects	office	4
broken_heart	Smileys & Emotion	heart	0
bug	Animals & Nature	animal-bug	189
building_construction	Travel & Places	place-building	0
bulb	Objects	light & video	11
bullettrain_front	Travel & Places	transport-ground	0
bullettrain_side	Travel & Places	transport-ground	0
burrito	Food & Drink	food-prepared	0
bus	Travel & Places	transport-ground	0
business_suit_levitating	People & Body	person-activity	0
busstop	Travel & Places	transport-ground	0
bust_in_silhouette	People & Body	person-symbol	0
busts_in_silhouette	People & Body	person-symbol	0
cactus	Animals & Nature	plant-other	0
cake	Food & Drink	food-sweet	1
calendar	Objects	office	3
calling	Objects	phone	0
camel	Animals & Nature	animal-mammal	1
camera	Objects	light & video	0
camera_flash	Objects	light & video	0
camping	Travel & Places	place-geographic	0
cancer	Symbols	zodiac	0
candle	Objects	light & video	2
candy	Food & Drink	food-sweet	1
capital_abcd	Symbols	alphanum	1
capricorn	Symbols	zodiac	0
car	Travel & Places	transport-ground	1
card_file_box	Objects	office	9
card_index	Objects	office	0
card_index_dividers	Objects	office	0
carousel_horse	Travel & Places	place-other	0
cat	Animals & Nature	animal-mammal	0
cat2	Animals & Nature	animal-mammal	0
cd	Objects	computer	8
chains	Objects	tool	0
champagne	Food & Drink	drink	1
chart	Objects	money	0
chart_with_downwards_trend	Objects	office	0
chart_with_upwards_trend	Objects	office	0
checkered_flag	Flags	flag	0
cheese	Food & Drink	food-prepared	0
cherries	Food & Drink	food-fruit	0
cherry_blossom	Animals & Nature	plant-flower	0
chestnut	Food & Drink	food-vegetable	0
chicken	Animals & Nature	animal-bird	1
children_crossing	Symbols	warning	0
chipmunk	Animals & Nature	animal-mammal	0
chocolate_bar	Food & Drink	food-sweet	1
christmas_tree	Activities	event	0
church	Travel & Places	place-religious	0
cinema	Symbols	av-symbol	0
circus_tent	Travel & Places	place-other	0
city_sunrise	Travel & Places	place-other	0
city_sunset	Travel & Places	place-other	0
cityscape	Travel & Places	place-other	1
cl	Symbols	alphanum	0
clamp	Objects	tool	0
clap	People & Body	hands	0
clapper	Objects	light & video	4
classical_building	Travel & Places	place-building	0
clipboard	Objects	office	4
clock1	Travel & Places	time	0
clock10	Travel & Places	time	0
clock1030	Travel & Places	time	0
clock11	Travel & Places	time	0
clock1130	Travel & Places	time	0
clock12	Travel & Places	time	0
clock1230	Travel & Places	time	0
clock130	Travel & Places	time	1
clock2	Travel & Places	time	0
clock230	Travel & Places	time	0
clock3	Travel & Places	time	0
clock330	Travel & Places	time	0
clock4	Travel & Places	time	0
clock430	Travel & Places	time	0
clock5	Travel & Places	time	0
clock530	Travel & Places	time	0
clock6	Travel & Places	time	0
clock630	Travel & Places	time	0
clock7	Travel & Places	time	0
clock730	Travel & Places	time	0
clock8	Travel & Places	time	0
clock830	Travel & Places	time	0
clock9	Travel & Places	time	0
clock930	Travel & Places	time	0
closed_book	Objects	book-paper	0
closed_lock_with_key	Objects	lock	1
closed_umbrella	Travel & Places	sky & weather	0
cloud	Travel & Places	sky & weather	5
cloud_with_lightning	Travel & Places	sky & weather	0
cloud_with_lightning_and_rain	Travel & Places	sky & weather	0
cloud_with_rain	Travel & Places	sky & weather	0
cloud_with_snow	Travel & Places	sky & weather	0
clubs	Activities	game	0
cocktail	Food & Drink	drink	1
coffee	Food & Drink	drink	4
coffin	Objects	other-object	4
cold_sweat	Smileys & Emotion	face-concerned	0
collision	Smileys & Emotion	emotion	0
comet	Travel & Places	sky & weather	1
computer	Objects	computer	1
computer_mouse	Objects	computer	0
confetti_ball	Activities	event	1
confounded	Smileys & Emotion	face-concerned	0
confused	Smileys & Emotion	face-concerned	0
congratulations	Symbols	alphanum	0
construction	Travel & Places	transport-ground	79
construction_worker	People & Body	person-role	0
control_knobs	Objects	music	0
convenience_store	Travel & Places	place-building	2
cookie	Food & Drink	food-sweet	1
cool	Symbols	alphanum	0
cop	People & Body	person-role	0
copyright	Symbols	other-symbol	0
corn	Food & Drink	food-vegetable	0
couch_and_lamp	Objects	household	2
couple	People & Body	family	0
couple_with_heart	People & Body	family	0
couplekiss	People & Body	family	0
cow	Animals & Nature	animal-mammal	0
cow2	Animals & Nature	animal-mammal	0
crab	Animals & Nature	animal-marine	0
crayon	Objects	writing	0
credit_card	Objects	money	0
crescent_moon	Travel & Places	sky & weather	0
cricket_game	Activities	sport	0
crocodile	Animals & Nature	animal-reptile	2
crossed_flags	Flags	flag	0
crossed_swords	Objects	tool	2
crown	Objects	clothing	0
cry	Smileys & Emotion	face-concerned	0
crying_cat_face	Smileys & Emotion	cat-face	0
crystal_ball	Activities	game	1
cupid	Smileys & Emotion	heart	0
curly_loop	Symbols	other-symbol	0
currency_exchange	Symbols	currency	0
curry	Food & Drink	food-asian	0
custard	Food & Drink	food-sweet	2
customs	Symbols	transport-sign	0
cyclone	Travel & Places	sky & weather	3
dagger	Objects	tool	0
dancer	People & Body	person-activity	0
dancers	People & Body	person-activity	0
dango	Food & Drink	food-asian	0
dark_sunglasses	Objects	clothing	0
dart	Activities	game	7
dash	Smileys & Emotion	emotion	0
date	Objects	office	0
deciduous_tree	Animals & Nature	plant-other	0
department_store	Travel & Places	place-building	0
derelict_house	Travel & Places	place-building	0
desert	Travel & Places	place-geographic	1
desert_island	Travel & Places	place-geographic	1
desktop_computer	Objects	computer	4
detective	People & Body	person-role	0
diamond_shape_with_a_dot_inside	Symbols	geometric	1
diamonds	Activities	game	1
disappointed	Smileys & Emotion	face-concerned	0
disappointed_relieved	Smileys & Emotion	face-concerned	0
dizzy	Smileys & Emotion	emotion	0
dizzy_face	Smileys & Emotion	face-unwell	1
do_not_litter	Symbols	warning	0
dog	Animals & Nature	animal-mammal	0
dog2	Animals & Nature	animal-mammal	0
dollar	Objects	money	3
dolls	Activities	event	0
dolphin	Animals & Nature	animal-marine	0
door	Objects	household	0
doughnut	Food & Drink	food-sweet	6
dove	Animals & Nature	animal-bird	0
dragon	Animals & Nature	animal-reptile	1
dragon_face	Animals & Nature	animal-reptile	0
dress	Objects	clothing	0
dromedary_camel	Animals & Nature	animal-mammal	1
droplet	Travel & Places	sky & weather	3
dvd	Objects	computer	0
e-mail	Objects	mail	0
ear	People & Body	body-parts	0
ear_of_rice	Animals & Nature	plant-other	3
earth_africa	Travel & Places	place-map	0
earth_americas	Travel & Places	place-map	0
earth_asia	Travel & Places	place-map	0
egg	Food & Drink	food-prepared	2
eggplant	Food & Drink	food-vegetable	0
eight	Symbols	keycap	0
eight_pointed_black_star	Symbols	other-symbol	0
eight_spoked_asterisk	Symbols	other-symbol	0
eject_button	Symbols	av-symbol	0
electric_plug	Objects	computer	3
elephant	Animals & Nature	animal-mammal	1
email	Objects	mail	0
end	Symbols	arrow	0
envelope	Objects	mail	1
envelope_with_arrow	Objects	mail	0
euro	Objects	money	0
european_castle	Travel & Places	place-building	1
european_post_office	Travel & Places	place-building	0
evergreen_tree	Animals & Nature	plant-other	0
exclamation	Symbols	punctuation	1
expressionless	Smileys & Emotion	face-neutral-skeptical	0
eye	People & Body	body-parts	2
eyeglasses	Objects	clothing	2
eyes	People & Body	body-parts	0
face_with_head_bandage	Smileys & Emotion	face-unwell	0
face_with_thermometer	Smileys & Emotion	face-unwell	0
facepunch	People & Body	hand-fingers-closed	0
factory	Travel & Places	place-building	39
fallen_leaf	Animals & Nature	plant-other	2
family	People & Body	person-symbol	0
fast_forward	Symbols	av-symbol	0
fax	Objects	phone	4
fearful	Smileys & Emotion	face-concerned	0
feet	Animals & Nature	animal-mammal	1
ferris_wheel	Travel & Places	place-other	1
ferry	Travel & Places	transport-water	0
field_hockey	Activities	sport	0
file_cabinet	Objects	office	0
file_folder	Objects	office	257
film_projector	Objects	light & video	1
film_strip	Objects	light & video	0
fire	Travel & Places	sky & weather	27
fire_engine	Travel & Places	transport-ground	0
fireworks	Activities	event	0
first_quarter_moon	Travel & Places	sky & weather	0
first_quarter_moon_with_face	Travel & Places	sky & weather	0
fish	Animals & Nature	animal-marine	1
fish_cake	Food & Drink	food-asian	0
fishing_pole_and_fish	Activities	sport	0
fist	People & Body	hand-fingers-closed	0
fist_oncoming	People & Body	hand-fingers-closed	0
fist_raised	People & Body	hand-fingers-closed	0
five	Symbols	keycap	0
flags	Activities	event	2
flashlight	Objects	light & video	2
fleur_de_lis	Symbols	other-symbol	0
flight_arrival	Travel & Places	transport-air	0
flight_departure	Travel & Places	transport-air	0
flipper	Animals & Nature	animal-marine	0
floppy_disk	Objects	computer	7
flower_playing_cards	Activities	game	3
flushed	Smileys & Emotion	face-concerned	0
fog	Travel & Places	sky & weather	2
foggy	Travel & Places	place-other	0
football	Activities	sport	2
footprints	People & Body	person-symbol	0
fork_and_knife	Food & Drink	dishware	0
fountain	Travel & Places	place-other	5
fountain_pen	Objects	writing	0
four	Symbols	keycap	0
four_leaf_clover	Animals & Nature	plant-other	1
framed_picture	Activities	arts & crafts	0
free	Symbols	alphanum	0
fried_egg	Food & Drink	food-prepared	0
fried_shrimp	Food & Drink	food-asian	0
fries	Food & Drink	food-prepared	1
frog	Animals & Nature	animal-amphibian	0
frowning	Smileys & Emotion	face-concerned	0
frowning_face	Smileys & Emotion	face-concerned	0
frowning_person	People & Body	person-gesture	0
fu	People & Body	hand-single-finger	0
fuelpump	Travel & Places	transport-ground	1
full_moon	Travel & Places	sky & weather	0
full_moon_with_face	Travel & Places	sky & weather	0
funeral_urn	Objects	other-object	0
game_die	Activities	game	0
gear	Objects	tool	64
gem	Objects	clothing	4
gemini	Symbols	zodiac	0
ghost	Smileys & Emotion	face-costume	2
gift	Activities	event	0
gift_heart	Smileys & Emotion	heart	0
girl	People & Body	person	0
globe_with_meridians	Travel & Places	place-map	0
goat	Animals & Nature	animal-mammal	0
golf	Activities	sport	4
golfing	People & Body	person-sport	0
grapes	Food & Drink	food-fruit	0
green_apple	Food & Drink	food-fruit	0
green_book	Objects	book-paper	0
green_heart	Smileys & Emotion	heart	5
grey_exclamation	Symbols	punctuation	1
grey_question	Symbols	punctuation	0
grimacing	Smileys & Emotion	face-neutral-skeptical	0
grin	Smileys & Emotion	face-smiling	0
grinning	Smileys & Emotion	face-smiling	0
guard	People & Body	person-role	0
guitar	Objects	musical-instrument	0
gun	Activities	game	0
haircut	People & Body	person-activity	0
hamburger	Food & Drink	food-prepared	0
hammer	Objects	tool	42
hammer_and_pick	Objects	tool	0
hammer_and_wrench	Objects	tool	0
hamster	Animals & Nature	animal-mammal	0
hand	People & Body	hand-fingers-open	0
handbag	Objects	clothing	0
hankey	Smileys & Emotion	face-costume	0
hash	Symbols	keycap	0
hatched_chick	Animals & Nature	animal-bird	0
hatching_chick	Animals & Nature	animal-bird	0
headphones	Objects	music	0
hear_no_evil	Smileys & Emotion	monkey-face	1
heart	Smileys & Emotion	heart	0
heart_decoration	Smileys & Emotion	heart	0
heart_eyes	Smileys & Emotion	face-affection	0
heart_eyes_cat	Smileys & Emotion	cat-face	0
heartbeat	Smileys & Emotion	heart	0
heartpulse	Smileys & Emotion	heart	0
hearts	Activities	game	0
heavy_check_mark	Symbols	other-symbol	1
heavy_division_sign	Symbols	math	0
heavy_dollar_sign	Symbols	currency	0
heavy_exclamation_mark	Symbols	punctuation	0
heavy_heart_exclamation	Smileys & Emotion	heart	0
heavy_minus_sign	Symbols	math	0
heavy_multiplication_x	Symbols	math	0
heavy_plus_sign	Symbols	math	0
helicopter	Travel & Places	transport-air	0
herb	Animals & Nature	plant-other	0
hibiscus	Animals & Nature	plant-flower	1
high_brightness	Symbols	av-symbol	0
high_heel	Objects	clothing	0
hocho	Food & Drink	dishware	0
hole	Smileys & Emotion	emotion	0
honey_pot	Food & Drink	food-sweet	14
honeybee	Animals & Nature	animal-bug	20
horse	Animals & Nature	animal-mammal	0
horse_racing	People & Body	person-sport	0
hospital	Travel & Places	place-building	0
hot_pepper	Food & Drink	food-vegetable	0
hotdog	Food & Drink	food-prepared	0
hotel	Travel & Places	place-building	1
hotsprings	Travel & Places	place-other	1
hourglass	Travel & Places	time	1
hourglass_flowing_sand	Travel & Places	time	2
house	Travel & Places	place-building	0
house_with_garden	Travel & Places	place-building	0
houses	Travel & Places	place-building	0
hugs	Smileys & Emotion	face-hand	0
hushed	Smileys & Emotion	face-concerned	1
ice_cream	Food & Drink	food-sweet	1
ice_hockey	Activities	sport	0
ice_skate	Activities	sport	0
icecream	Food & Drink	food-sweet	0
id	Symbols	alphanum	0
ideograph_advantage	Symbols	alphanum	0
imp	Smileys & Emotion	face-negative	0
inbox_tray	Objects	mail	0
incoming_envelope	Objects	mail	0
information_desk_person	People & Body	person-gesture	0
information_source	Symbols	alphanum	0
innocent	Smileys & Emotion	face-smiling	0
interrobang	Symbols	punctuation	4
iphone	Objects	phone	0
izakaya_lantern	Objects	light & video	1
jack_o_lantern	Activities	event	1
japan	Travel & Places	place-map	0
japanese_castle	Travel & Places	place-building	2
japanese_goblin	Smileys & Emotion	face-costume	0
japanese_ogre	Smileys & Emotion	face-costume	0
jeans	Objects	clothing	0
joy	Smileys & Emotion	face-smiling	0
joy_cat	Smileys & Emotion	cat-face	0
joystick	Activities	game	1
kaaba	Travel & Places	place-religious	0
key	Objects	lock	3
keyboard	Objects	computer	1
keycap_ten	Symbols	keycap	0
kimono	Objects	clothing	0
kiss	Smileys & Emotion	emotion	0
kissing	Smileys & Emotion	face-affection	0
kissing_cat	Smileys & Emotion	cat-face	0
kissing_closed_eyes	Smileys & Emotion	face-affection	0
kissing_heart	Smileys & Emotion	face-affection	0
kissing_smiling_eyes	Smileys & Emotion	face-affection	0
knife	Food & Drink	dishware	0
koala	Animals & Nature	animal-mammal	0
koko	Symbols	alphanum	0
label	Objects	book-paper	44
lady_beetle	Animals & Nature	animal-bug	0
lantern	Objects	light & video	0
large_blue_circle	Symbols	geometric	0
large_blue_diamond	Symbols	geometric	0
large_orange_diamond	Symbols	geometric	0
last_quarter_moon	Travel & Places	sky & weather	0
last_quarter_moon_with_face	Travel & Places	sky & weather	0
latin_cross	Symbols	religion	0
laughing	Smileys & Emotion	face-smiling	0
leaves	Animals & Nature	plant-other	1
ledger	Objects	book-paper	0
left_luggage	Symbols	transport-sign	0
left_right_arrow	Symbols	arrow	0
leftwards_arrow_with_hook	Symbols	arrow	0
lemon	Food & Drink	food-fruit	0
leo	Symbols	zodiac	0
leopard	Animals & Nature	animal-mammal	0
level_slider	Objects	music	0
libra	Symbols	zodiac	0
light_rail	Travel & Places	transport-ground	0
link	Objects	tool	0
lion	Animals & Nature	animal-mammal	0
lips	People & Body	body-parts	0
lipstick	Objects	clothing	0
lock	Objects	lock	4
lock_with_ink_pen	Objects	lock	0
lollipop	Food & Drink	food-sweet	0
loop	Symbols	other-symbol	0
loud_sound	Objects	sound	2
loudspeaker	Objects	sound	2
love_hotel	Travel & Places	place-building	0
love_letter	Smileys & Emotion	heart	0
low_brightness	Symbols	av-symbol	0
m	Symbols	alphanum	0
mag	Objects	light & video	0
mag_right	Objects	light & video	1
mahjong	Activities	game	3
mailbox	Objects	mail	0
mailbox_closed	Objects	mail	0
mailbox_with_mail	Objects	mail	0
mailbox_with_no_mail	Objects	mail	0
man	People & Body	person	0
man_with_gua_pi_mao	People & Body	person-role	0
mandarin	Food & Drink	food-fruit	0
mans_shoe	Objects	clothing	3
mantelpiece_clock	Travel & Places	time	0
maple_leaf	Animals & Nature	plant-other	1
mask	Smileys & Emotion	face-unwell	0
massage	People & Body	person-activity	1
meat_on_bone	Food & Drink	food-prepared	0
medal_military	Activities	award-medal	0
medal_sports	Activities	award-medal	0
mega	Objects	sound	0
melon	Food & Drink	food-fruit	0
memo	Objects	writing	9
menorah	Symbols	religion	0
mens	Symbols	transport-sign	0
metal	People & Body	hand-fingers-partial	0
metro	Travel & Places	transport-ground	0
microphone	Objects	music	1
microscope	Objects	science	1
middle_finger	People & Body	hand-single-finger	0
milky_way	Travel & Places	sky & weather	0
minibus	Travel & Places	transport-ground	0
minidisc	Objects	computer	13
mobile_phone_off	Symbols	av-symbol	0
money_mouth_face	Smileys & Emotion	face-tongue	0
money_with_wings	Objects	money	0
moneybag	Objects	money	2
monkey	Animals & Nature	animal-mammal	1
monkey_face	Animals & Nature	animal-mammal	0
monorail	Travel & Places	transport-ground	3
moon	Travel & Places	sky & weather	0
mortar_board	Objects	clothing	0
mosque	Travel & Places	place-religious	0
motor_boat	Travel & Places	transport-water	0
motorcycle	Travel & Places	transport-ground	0
motorway	Travel & Places	transport-ground	0
mount_fuji	Travel & Places	place-geographic	0
mountain	Travel & Places	place-geographic	2
mountain_bicyclist	People & Body	person-sport	1
mountain_cableway	Travel & Places	transport-air	0
mountain_railway	Travel & Places	transport-ground	2
mountain_snow	Travel & Places	place-geographic	0
mouse	Animals & Nature	animal-mammal	1
mouse2	Animals & Nature	animal-mammal	0
movie_camera	Objects	light & video	0
moyai	Objects	other-object	2
muscle	People & Body	body-parts	1
mushroom	Animals & Nature	plant-other	0
musical_keyboard	Objects	musical-instrument	2
musical_note	Objects	music	0
musical_score	Objects	music	0
mute	Objects	sound	3
nail_care	People & Body	hand-prop	0
name_badge	Symbols	other-symbol	0
national_park	Travel & Places	place-geographic	0
necktie	Objects	clothing	5
negative_squared_cross_mark	Symbols	other-symbol	0
nerd_face	Smileys & Emotion	face-glasses	0
neutral_face	Smileys & Emotion	face-neutral-skeptical	0
new	Symbols	alphanum	0
new_moon	Travel & Places	sky & weather	0
new_moon_with_face	Travel & Places	sky & weather	0
newspaper	Objects	book-paper	1
newspaper_roll	Objects	book-paper	0
next_track_button	Symbols	av-symbol	0
ng	Symbols	alphanum	0
night_with_stars	Travel & Places	place-other	0
nine	Symbols	keycap	0
no_bell	Objects	sound	0
no_bicycles	Symbols	warning	0
no_entry	Symbols	warning	12
no_entry_sign	Symbols	warning	42
no_good	People & Body	person-gesture	0
no_mobile_phones	Symbols	warning	0
no_mouth	Smileys & Emotion	face-neutral-skeptical	1
no_pedestrians	Symbols	warning	0
no_smoking	Symbols	warning	0
non-potable_water	Symbols	warning	0
nose	People & Body	body-parts	0
notebook	Objects	book-paper	7
notebook_with_decorative_cover	Objects	book-paper	0
notes	Objects	music	0
nut_and_bolt	Objects	tool	4
o	Symbols	other-symbol	0
o2	Symbols	alphanum	0
ocean	Travel & Places	sky & weather	1
octopus	Animals & Nature	animal-marine	0
oden	Food & Drink	food-asian	1
office	Travel & Places	place-building	1
oil_drum	Travel & Places	transport-ground	0
ok	Symbols	alphanum	0
ok_hand	People & Body	hand-fingers-partial	0
ok_person	People & Body	person-gesture	0
old_key	Objects	lock	0
older_man	People & Body	person	0
older_woman	People & Body	person	0
om	Symbols	religion	0
on	Symbols	arrow	0
oncoming_automobile	Travel & Places	transport-ground	0
oncoming_bus	Travel & Places	transport-ground	0
oncoming_police_car	Travel & Places	transport-ground	0
oncoming_taxi	Travel & Places	transport-ground	0
one	Symbols	keycap	0
open_book	Objects	book-paper	0
open_file_folder	Objects	office	91
open_hands	People & Body	hands	0
open_mouth	Smileys & Emotion	face-concerned	1
open_umbrella	Travel & Places	sky & weather	0
ophiuchus	Symbols	zodiac	0
orange	Food & Drink	food-fruit	0
orange_book	Objects	book-paper	0
orthodox_cross	Symbols	religion	0
outbox_tray	Objects	mail	0
ox	Animals & Nature	animal-mammal	0
package	Objects	mail	131
page_facing_up	Objects	book-paper	1
page_with_curl	Objects	book-paper	31
pager	Objects	phone	22
paintbrush	Objects	writing	0
palm_tree	Animals & Nature	plant-other	1
panda_face	Animals & Nature	animal-mammal	1
paperclip	Objects	office	2
paperclips	Objects	office	0
parasol_on_ground	Travel & Places	sky & weather	0
parking	Symbols	alphanum	0
part_alternation_mark	Symbols	other-symbol	0
partly_sunny	Travel & Places	sky & weather	3
passenger_ship	Travel & Places	transport-water	0
passport_control	Symbols	transport-sign	0
pause_button	Symbols	av-symbol	0
paw_prints	Animals & Nature	animal-mammal	0
peace_symbol	Symbols	religion	0
peach	Food & Drink	food-fruit	0
pear	Food & Drink	food-fruit	0
pen	Objects	writing	0
pencil	Objects	writing	0
pencil2	Objects	writing	7
penguin	Animals & Nature	animal-bird	1
pensive	Smileys & Emotion	face-sleepy	0
performing_arts	Activities	arts & crafts	0
persevere	Smileys & Emotion	face-concerned	0
person_with_turban	People & Body	person-role	0
person_with_veil	People & Body	person-role	0
phone	Objects	phone	1
pick	Objects	tool	2
pig	Animals & Nature	animal-mammal	3
pig2	Animals & Nature	animal-mammal	0
pig_nose	Animals & Nature	animal-mammal	0
pill	Objects	medical	1
pineapple	Food & Drink	food-fruit	0
ping_pong	Activities	sport	0
pirate_flag	Flags	flag	1
pisces	Symbols	zodiac	0
pizza	Food & Drink	food-prepared	1
place_of_worship	Symbols	religion	0
plate_with_cutlery	Food & Drink	dishware	0
play_or_pause_button	Symbols	av-symbol	0
point_down	People & Body	hand-single-finger	0
point_left	People & Body	hand-single-finger	0
point_right	People & Body	hand-single-finger	0
point_up	People & Body	hand-single-finger	0
point_up_2	People & Body	hand-single-finger	0
police_car	Travel & Places	transport-ground	0
police_officer	People & Body	person-role	0
poodle	Animals & Nature	animal-mammal	0
poop	Smileys & Emotion	face-costume	0
popcorn	Food & Drink	food-prepared	5
post_office	Travel & Places	place-building	0
postal_horn	Objects	sound	1
postbox	Objects	mail	0
potable_water	Symbols	transport-sign	0
pouch	Objects	clothing	5
poultry_leg	Food & Drink	food-prepared	1
pound	Objects	money	0
pout	Smileys & Emotion	face-negative	0
pouting_cat	Smileys & Emotion	cat-face	0
pouting_face	People & Body	person-gesture	0
pray	People & Body	hands	0
prayer_beads	Objects	clothing	0
previous_track_button	Symbols	av-symbol	0
princess	People & Body	person-role	0
printer	Objects	computer	7
punch	People & Body	hand-fingers-closed	0
purple_heart	Smileys & Emotion	heart	0
purse	Objects	clothing	0
pushpin	Objects	office	1
put_litter_in_its_place	Symbols	transport-sign	0
question	Symbols	punctuation	1
rabbit	Animals & Nature	animal-mammal	2
rabbit2	Animals & Nature	animal-mammal	1
racehorse	Animals & Nature	animal-mammal	1
racing_car	Travel & Places	transport-ground	0
radio	Objects	music	3
radio_button	Symbols	geometric	0
radioactive	Symbols	warning	0
rage	Smileys & Emotion	face-negative	0
railway_car	Travel & Places	transport-ground	0
railway_track	Travel & Places	transport-ground	0
rainbow	Travel & Places	sky & weather	0
raised_hand	People & Body	hand-fingers-open	0
raised_hand_with_fingers_splayed	People & Body	hand-fingers-open	0
raised_hands	People & Body	hands	0
raising_hand	People & Body	person-gesture	0
ram	Animals & Nature	animal-mammal	69
ramen	Food & Drink	food-asian	1
rat	Animals & Nature	animal-mammal	1
record_button	Symbols	av-symbol	0
recycle	Symbols	other-symbol	47
red_car	Travel & Places	transport-ground	0
red_circle	Symbols	geometric	0
registered	Symbols	other-symbol	0
relaxed	Smileys & Emotion	face-affection	0
relieved	Smileys & Emotion	face-sleepy	0
reminder_ribbon	Activities	event	0
repeat	Symbols	av-symbol	0
repeat_one	Symbols	av-symbol	0
rescue_worker_helmet	Objects	clothing	0
restroom	Symbols	transport-sign	0
revolving_hearts	Smileys & Emotion	heart	0
rewind	Symbols	av-symbol	0
ribbon	Activities	event	0
rice	Food & Drink	food-asian	0
rice_ball	Food & Drink	food-asian	0
rice_cracker	Food & Drink	food-asian	0
rice_scene	Activities	event	2
right_anger_bubble	Smileys & Emotion	emotion	0
